symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GME,2016-05-19 00:00:00+00:00,28.55,28.58,27.52,28.04,3142472,22.2879588736,22.3113787954,21.4838748932,21.8898202037,3142472,0.0,1.0
GME,2016-05-20 00:00:00+00:00,28.48,28.74,28.2,28.68,2329308,22.2333123895,22.4362850448,22.0147264531,22.3894452012,2329308,0.0,1.0
GME,2016-05-23 00:00:00+00:00,28.47,28.87,28.31,28.61,2005715,22.2255057489,22.5377713724,22.1005994996,22.3347987171,2005715,0.0,1.0
GME,2016-05-24 00:00:00+00:00,28.7,28.96,28.15,28.39,3522602,22.4050584824,22.6080311377,21.9756932502,22.1630526242,3522602,0.0,1.0
GME,2016-05-25 00:00:00+00:00,29.73,29.84,28.67,28.77,4612114,23.2091424628,23.2950155092,22.3816385607,22.4597049665,4612114,0.0,1.0
GME,2016-05-26 00:00:00+00:00,29.98,30.4242,29.89,29.99,3415627,23.4043084774,23.7510794523,23.3340487122,23.412115118,3415627,0.0,1.0
GME,2016-05-27 00:00:00+00:00,28.8,28.9299,27.65,28.04,7558489,22.4831248883,22.5845331495,21.5853612209,21.8898202037,7558489,0.0,1.0
GME,2016-05-31 00:00:00+00:00,29.1,29.35,28.63,28.89,9935836,22.7173241059,22.9124901205,22.3504119983,22.5533846536,9935836,0.0,1.0
GME,2016-06-01 00:00:00+00:00,28.95,29.2,28.45,29.02,3722744,22.6002244971,22.7953905117,22.2098924678,22.6548709812,3722744,0.0,1.0
GME,2016-06-02 00:00:00+00:00,28.89,29.32,28.75,28.98,1968117,22.5533846536,22.8890701988,22.4440916853,22.6236444188,1968117,0.0,1.0
GME,2016-06-03 00:00:00+00:00,28.64,29.05,28.31,28.96,2210169,22.3582186389,22.6782909029,22.1005994996,22.6080311377,2210169,0.0,1.0
GME,2016-06-06 00:00:00+00:00,28.47,28.6,28.044,28.27,1955157,22.5143514506,22.6171567084,22.177466529,22.3561895156,1955157,0.37,1.0
GME,2016-06-07 00:00:00+00:00,28.46,28.785,28.3999,28.49,1820986,22.5064433539,22.7634564983,22.4589156924,22.5301676441,1820986,0.0,1.0
GME,2016-06-08 00:00:00+00:00,28.23,28.62,28.18,28.47,1920404,22.3245571286,22.6329729019,22.2850166448,22.5143514506,1920404,0.0,1.0
GME,2016-06-09 00:00:00+00:00,27.27,28.27,27.145,28.07,3397249,21.5653798405,22.3561895156,21.4665286311,22.1980275806,3397249,0.0,1.0
GME,2016-06-10 00:00:00+00:00,26.53,26.95,26.16,26.95,4522605,20.9801806809,21.3123207444,20.6875811011,21.3123207444,4522605,0.0,1.0
GME,2016-06-13 00:00:00+00:00,26.03,26.67,26.02,26.45,2331712,20.5847758433,21.0908940354,20.5768677466,20.9169159069,2331712,0.0,1.0
GME,2016-06-14 00:00:00+00:00,25.73,26.04,25.35,25.97,3149830,20.3475329408,20.5926839401,20.0470252643,20.5373272628,3149830,0.0,1.0
GME,2016-06-15 00:00:00+00:00,26.13,26.42,25.61,25.7,3626647,20.6638568108,20.8931916166,20.2526357798,20.3238086505,3626647,0.0,1.0
GME,2016-06-16 00:00:00+00:00,25.93,26.18,25.73,26.06,2230802,20.5056948758,20.7033972946,20.3475329408,20.6085001336,2230802,0.0,1.0
GME,2016-06-17 00:00:00+00:00,26.15,26.6,25.78,25.98,2594802,20.6796730043,21.0355373581,20.3870734246,20.5452353596,2594802,0.0,1.0
GME,2016-06-20 00:00:00+00:00,26.4,26.82,26.35,26.45,2280904,20.8773754231,21.2095154867,20.8378349394,20.9169159069,2280904,0.0,1.0
GME,2016-06-21 00:00:00+00:00,25.84,26.45,25.71,26.37,1569775,20.4345220051,20.9169159069,20.3317167473,20.8536511329,1569775,0.0,1.0
GME,2016-06-22 00:00:00+00:00,26.0,26.28,25.81,25.96,1786772,20.5610515531,20.7824782621,20.4107977148,20.5294191661,1786772,0.0,1.0
GME,2016-06-23 00:00:00+00:00,26.33,26.55,26.165,26.43,1519101,20.8220187459,20.9959968744,20.6915351495,20.9010997134,1519101,0.0,1.0
GME,2016-06-24 00:00:00+00:00,25.34,25.73,25.26,25.28,1842855,20.0391171675,20.3475329408,19.9758523935,19.991668587,1842855,0.0,1.0
GME,2016-06-27 00:00:00+00:00,25.5,25.97,25.18,25.31,3061174,20.1656467155,20.5373272628,19.9125876195,20.0153928772,3061174,0.0,1.0
GME,2016-06-28 00:00:00+00:00,26.05,26.18,25.62,25.83,2881384,20.6005920368,20.7033972946,20.2605438765,20.4266139083,2881384,0.0,1.0
GME,2016-06-29 00:00:00+00:00,26.41,26.97,26.37,26.47,2485809,20.8852835199,21.3281369379,20.8536511329,20.9327321004,2485809,0.0,1.0
GME,2016-06-30 00:00:00+00:00,26.58,26.685,26.015,26.51,1859217,21.0197211646,21.1027561805,20.5729136982,20.9643644874,1859217,0.0,1.0
GME,2016-07-01 00:00:00+00:00,27.06,27.38,26.73,26.88,2632843,21.3993098087,21.6523689047,21.1383426159,21.2569640672,2632843,0.0,1.0
GME,2016-07-05 00:00:00+00:00,26.3,27.06,25.96,27.03,2141059,20.7982944556,21.3993098087,20.5294191661,21.3755855185,2141059,0.0,1.0
