epoch,loss
0,0.00034954221337102354
1,6.1953513068147e-05
2,3.6753001040779054e-05
3,1.9780332877417095e-05
4,1.746988345985301e-05
5,1.5771283869980834e-05
6,1.6538215277250856e-05
7,1.743525717756711e-05
8,1.4295847904577386e-05
9,1.51834819916985e-05
10,2.4199795007007197e-05
11,1.7965896404348314e-05
12,1.7677462892606854e-05
13,1.5036688637337647e-05
14,1.3824751476931851e-05
15,1.3331262380233966e-05
16,1.5564097338938154e-05
17,1.3074017260805704e-05
18,1.27870489450288e-05
19,1.3159892660041805e-05
20,1.429440362699097e-05
21,1.22508718050085e-05
22,1.4000012015458196e-05
23,1.1598603123275097e-05
24,1.1199334949196782e-05
25,1.3489269804267678e-05
26,1.1697764421114698e-05
27,1.4307622222986538e-05
28,1.3064074664725922e-05
29,1.7277507140534e-05
30,1.3846663023286965e-05
31,1.0405638931842986e-05
32,9.992609193432145e-06
33,1.080586571333697e-05
34,1.026314203045331e-05
35,9.68005224422086e-06
36,1.0449170986248646e-05
37,1.0251397725369316e-05
38,9.752282494446263e-06
39,1.1279385034868028e-05
40,1.0067109542433172e-05
41,9.156377927865833e-06
42,9.52333903114777e-06
43,9.367499842483085e-06
44,1.0885585652431473e-05
45,9.140085239778273e-06
46,8.69185350893531e-06
47,8.331881872436497e-06
48,1.1958454706473276e-05
49,1.0979682883771602e-05
